reamostragem,media_valor,pct_medio,pct_mediano,mq_valor_causa,pct_por_sub,mq_pct_p,mq_valor_ce,mq_pct_dg,mq_pct_dgu,ridge,bagging_dg,floresta
783,1781.29,1056.70,1118.76,1067.87,1067.10,1053.69,1063.91,1076.17,1069.30,1053.76,1075.83,1048.52
784,1640.73,965.61,962.02,969.48,974.20,988.31,979.73,1026.76,1114.26,1006.69,1027.22,1025.30
785,1632.16,1055.37,1048.05,1060.80,1054.19,1076.09,1124.17,1082.07,1194.46,1120.30,1081.92,1089.04
786,1637.59,1004.92,1004.49,1009.90,1008.02,1008.95,1022.17,1019.79,1117.01,1015.42,1021.03,1010.18
787,1610.87,980.56,977.41,981.36,981.21,965.72,967.24,966.32,981.73,972.22,964.53,979.64
788,1554.29,946.81,940.06,950.29,963.62,943.89,946.74,988.60,1218.30,1114.49,985.57,1003.58
789,1625.96,926.42,921.78,924.98,948.43,926.03,922.20,950.24,1058.95,1026.13,949.84,973.77
790,1740.57,1026.64,1018.40,1045.42,1030.91,1069.57,1096.16,1085.86,1254.67,1145.16,1087.54,1069.99
791,1801.85,1034.51,1049.73,1040.92,1059.83,1023.71,1029.48,1068.68,1284.22,1164.70,1068.61,1064.85
792,1651.53,995.33,992.99,1010.97,1008.90,982.73,1002.61,1003.61,1028.52,977.86,1002.97,1005.68
793,1769.03,953.56,945.62,954.79,953.62,945.88,948.61,949.97,1098.81,1000.79,949.19,961.40
794,1801.05,1059.40,1075.99,1057.49,1059.35,1051.96,1051.38,1047.22,1140.70,1073.75,1043.30,1024.59
795,1733.24,995.87,998.37,998.95,1001.89,1000.96,1002.64,1044.59,1201.61,1111.11,1042.76,1042.92
796,1643.28,973.30,987.04,981.23,973.63,969.64,980.65,1009.71,1070.45,1010.71,1009.12,1010.29
797,1808.38,963.78,964.41,965.29,972.06,995.47,985.65,1036.03,1138.32,997.02,1035.14,1008.76
798,1703.73,922.93,929.27,927.91,923.18,919.17,922.86,901.94,989.47,906.09,900.01,890.91
799,1587.80,966.82,963.71,1009.99,969.01,960.73,1000.76,978.96,1028.01,955.37,979.48,992.53
800,1813.98,971.01,972.28,980.18,971.30,966.73,976.82,989.80,1035.04,983.00,988.82,965.50
801,1714.55,952.94,982.20,952.87,956.36,957.60,962.03,955.90,944.97,953.05,955.45,943.19
802,1807.59,983.86,996.20,992.45,983.58,982.58,990.78,999.73,1097.55,998.48,1000.69,991.69
803,1810.38,959.94,970.20,974.96,960.29,950.67,968.45,980.40,1138.04,1027.75,976.37,951.20
804,1715.05,1024.67,1022.57,1027.96,1032.96,1029.81,1037.26,1044.86,1215.49,1139.73,1046.29,1045.16
805,1607.65,942.55,960.33,949.41,943.66,935.92,938.59,954.34,1026.97,944.41,950.13,935.76
806,1554.57,874.29,875.40,875.44,874.79,862.13,874.07,877.46,985.36,894.49,876.48,896.31
807,1719.49,1004.73,1013.50,1006.22,1004.56,997.42,1002.00,1010.01,1112.58,1017.51,1011.01,982.80
808,1656.91,975.27,1011.40,974.67,975.87,968.69,969.79,977.08,1113.05,1050.38,978.13,971.34
809,1586.24,1009.34,999.27,1063.88,1019.44,1008.82,1061.98,1022.83,1212.78,1092.41,1021.86,978.44
810,1604.19,1000.95,983.52,1025.81,1050.47,1000.04,1021.00,1090.67,1204.09,1092.58,1087.04,1058.44
811,1830.70,982.20,995.50,982.36,982.21,974.51,978.53,970.97,1035.02,969.31,972.61,959.61
812,1707.02,958.35,971.94,974.54,959.15,957.02,972.57,970.76,1080.89,962.89,968.44,965.61
813,1675.89,950.92,960.01,951.20,968.17,953.17,945.74,1005.02,1088.54,1010.81,1004.02,978.39
814,1691.61,975.80,983.17,977.00,995.12,1004.81,1016.53,1001.44,1058.28,1022.10,1004.04,993.80
815,1607.67,999.57,1005.92,1011.52,1061.28,983.18,997.99,1053.44,1217.04,1087.98,1056.86,1017.47
816,1804.70,1071.64,1087.65,1069.34,1072.74,1059.47,1060.10,1054.11,1281.51,1170.77,1056.09,1040.75
817,1689.80,984.17,975.71,985.91,985.85,985.80,983.53,979.35,1055.81,987.47,976.05,1008.07
818,1698.49,991.99,1004.88,991.61,1027.27,987.82,1006.70,1046.72,1126.75,1079.87,1049.91,1028.00
819,1797.82,1008.21,1023.34,1018.50,1006.89,997.31,1009.53,1017.34,1231.37,1143.83,1018.97,1032.15
820,1696.05,901.45,922.29,906.66,909.81,906.46,910.26,945.35,996.74,930.77,947.32,930.34
821,1768.67,1030.82,1043.87,1026.45,1030.73,1027.17,1021.88,1068.95,1175.56,1086.98,1070.85,1040.40
822,1756.05,1060.30,1115.44,1057.79,1059.97,1075.34,1062.40,1137.85,1250.66,1114.20,1137.16,1110.87
823,1680.41,986.98,1033.25,984.03,1032.01,981.01,983.33,1027.30,1104.37,1026.46,1025.99,1000.51
824,1751.35,955.71,972.29,965.29,955.15,969.81,979.39,974.82,1053.42,989.39,975.13,947.35
825,1651.41,980.88,980.99,981.38,980.07,963.92,964.65,976.01,1094.86,971.13,977.13,1023.25
826,1731.86,930.71,963.92,934.24,931.00,930.64,933.26,955.93,1041.33,964.90,958.86,956.27
827,1762.60,989.83,1034.68,986.17,989.88,981.75,977.83,979.53,1056.80,977.44,980.87,936.44
828,1804.63,983.63,997.92,981.51,983.12,972.50,966.93,1027.60,1077.53,1022.84,1029.01,987.04
829,1683.60,985.23,986.74,987.32,986.07,974.64,983.89,1007.73,1055.95,984.80,1007.56,984.23
830,1811.51,1035.09,1044.99,1039.37,1050.35,1031.38,1031.80,1031.58,1133.16,1047.24,1032.39,1041.92
